Page Number,Virtual Address,Physical Address,Page Fault,Swap,Evicted,Allocated Page Table Entries
0,472,472,0,0,-1,0
0,476,476,0,0,-1,0
0,480,480,0,0,-1,0
0,484,484,0,0,-1,0
0,488,488,0,0,-1,0
0,492,492,0,0,-1,0
0,496,496,0,0,-1,0
0,500,500,0,0,-1,0
0,504,504,0,0,-1,0
0,508,508,0,0,-1,0
0,512,512,0,0,-1,0
0,516,516,0,0,-1,0
0,520,520,0,0,-1,0
0,524,524,0,0,-1,0
0,528,528,0,0,-1,0
0,532,532,0,0,-1,0
0,536,536,0,0,-1,0
0,540,540,0,0,-1,0
0,544,544,0,0,-1,0
0,548,548,0,0,-1,0
0,552,552,0,0,-1,0
0,556,556,0,0,-1,0
0,560,560,0,0,-1,0
0,564,564,0,0,-1,0
0,568,568,0,0,-1,0
0,572,572,0,0,-1,0
0,576,576,0,0,-1,0
0,580,580,0,0,-1,0
0,584,584,0,0,-1,0
0,588,588,0,0,-1,0
0,592,592,0,0,-1,0
0,596,596,0,0,-1,0
0,600,600,0,0,-1,0
0,604,604,0,0,-1,0
0,608,608,0,0,-1,0
0,612,612,0,0,-1,0
0,616,616,0,0,-1,0
0,620,620,0,0,-1,0
0,624,624,0,0,-1,0
0,628,628,0,0,-1,0
0,632,632,0,0,-1,0
0,636,636,0,0,-1,0
0,640,640,0,0,-1,0
0,644,644,0,0,-1,0
0,648,648,0,0,-1,0
0,652,652,0,0,-1,0
0,656,656,0,0,-1,0
0,660,660,0,0,-1,0
0,664,664,0,0,-1,0
0,668,668,0,0,-1,0
0,672,672,0,0,-1,0
0,676,676,0,0,-1,0
0,680,680,0,0,-1,0
0,684,684,0,0,-1,0
0,688,688,0,0,-1,0
0,692,692,0,0,-1,0
0,696,696,0,0,-1,0
0,700,700,0,0,-1,0
0,704,704,0,0,-1,0
0,708,708,0,0,-1,0
0,712,712,0,0,-1,0
0,716,716,0,0,-1,0
0,720,720,0,0,-1,0
0,724,724,0,0,-1,0
0,728,728,0,0,-1,0
